"relative_path","size_bytes","sha256"
"CODE_PACKAGES\CMDO_U10_PRESEAL_PIPELINE_v0.3.2_LABELFIX_QC\CMDO_U10_PRESEAL_v032_LABELFIX_QC.py","21513","fa3abfa804cfe319f8307c810e90dca7f13ee98c4b227a8ecc9ffe81f759b7fb"
"CODE_PACKAGES\CMDO_U10_PRESEAL_PIPELINE_v0.3.2_LABELFIX_QC\README.md","3302","590bfb62ddedbb1fa96accb457e65c5ea8a310952b6d21299a3a293db3fbac10"
"CODE_PACKAGES\CMDO_U10_UNSEAL_EVAL_v0.1.1_RESUMABLE\CMDO_U10_EVALUATE_v01.py","11232","b219309c652a537aaec0fc3f5efcff2f8d2928c17e0a86f391049cf0f2943daf"
"CODE_PACKAGES\CMDO_U10_UNSEAL_EVAL_v0.1.1_RESUMABLE\CMDO_U10_UNSEAL_AND_EVALUATE.ps1","4331","549c9e32479491fb880a87db877976461a12f7e02a01c7a7f0d29a11db967ff8"
"CODE_PACKAGES\CMDO_U10_UNSEAL_EVAL_v0.1.1_RESUMABLE\README.md","1451","a62aad07b28434efc1ba139c3cac4d357be7ac8ded8db2f30142ffc8023ac0ae"
"CODE_PACKAGES\CMDO_U10_UNSEAL_EVAL_v0.1.1_RESUMABLE\U10_LOCKED_EVALUATION_SPEC_v0.1.json","2899","25b8810080a595494552789aca632c67db4b6af16b7f404920e38d9aee45a449"
"PRESEAL\FEATURE_ERRORS_cpsc_2018.csv","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6"
"PRESEAL\FEATURE_ERRORS_georgia.csv","2461","0d1bbe11a1997fd045bf3e0121dfc2e0f778f6d3cab0a990c3123140cf9caf60"
"PRESEAL\FEATURE_ERRORS_ptb-xl.csv","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6"
"PRESEAL\FEATURE_EXCLUSION_AUDIT.json","495","b31b7a66ce7c982316445cf8b0441efc7c4c0ff64b0fa32cf86423a14f40568d"
"PRESEAL\FEATURES_cpsc_2018.npz","4571173","40e806e86ef46de43c62c5b3680cd8e4960a97b0f317ddd1ceb1f4ab270aad66"
"PRESEAL\FEATURES_georgia.npz","6770758","580c0aede93ed22301b9038d4c9754cd4f6217cd057835941e6796558dd53e06"
"PRESEAL\FEATURES_ptb-xl.npz","14436090","cf358372b22650a1c7f5fe618da6063fe1ea0b120aa7e726fca11ff5ea74554f"
"PRESEAL\ROSTER_cpsc_2018.csv","48150","648785c18805c168a0469a58329552de42d7437801615253ca22674010f2eadf"
"PRESEAL\ROSTER_georgia.csv","82347","9706a054cd9b14fb7b038a0ce2ea8796188641dfcfb345bb643d9d3aa45db103"
"PRESEAL\ROSTER_ptb-xl.csv","196544","f6a4b0bcaef4da7eaa320dc9ace1a52a1848c7e0a4bd71f225bd9fcc99a77957"
"PRESEAL\SOURCE_DIAGNOSIS_AUDIT_ptb-xl.json","1648","74c68b8ce017989cbb6dc846f6c26ce9154c3c2d57ea541e2296a2dc6733e408"
"PRESEAL\SOURCE_MODEL_ptb-xl_AF.joblib","663888","7e5e85cc1a8cb167196c361e425ad39564a39dbf57038de2fabaabce0169fa6f"
"PRESEAL\SOURCE_SPLIT_ptb-xl.csv","414930","4402bea138db7b99d3f4bc4fd8fead58ddbb2e02230dbc4fc5bc76506790b82e"
"PRESEAL\SOURCE_SUMMARY.json","676","06d694b54c3d67eefa559d9a613207be3658fdc2ea694e707a14efe51c263b77"
"PRESEAL\TARGET_SCORES_cpsc_2018.csv","163501","37f84929a3800a5616c75b36657681157c8d0998a0843ff633fbbb53ba64bd62"
"PRESEAL\TARGET_SCORES_georgia.csv","259792","53e1c9da2c4eb05ddbaca18ef1a8ace69f96ba93fcf79fb707e6fbb8f81610df"
"SEALS\U10_PREOUTCOME_SEAL.json","4679","efccafc32dc7778986296f6f7314488f6d08c45bdff2efdcb7f0918d36aec949"
"SEALS\U10_PREOUTCOME_SEAL.sha256","92","f589b7693333c1649e5fececf8c1996c87531b564f85b70d2a6153f5bdcc80dd"
"U10_FINAL_EVIDENCE_LEDGER.json","6223","89599cd87185318ebdb019045315839052f7b89d87ea2bbad9d3d0ef7e522643"
"U10_SCIENTIFIC_CHRONOLOGY.txt","1592","63a2205853d17e1c02a6899d36914a5d936ced42e329f8046cffe2f529730d46"
"UNSEAL\POSTHOC_DEPENDENCE_DECOMPOSITION_v0.1\U10_DEPENDENCE_DECOMPOSITION.csv","5782","580a0480391ea40cad021fc0264350f6eba357d24a219a670687163159470bcc"
"UNSEAL\POSTHOC_DEPENDENCE_DECOMPOSITION_v0.1\U10_DEPENDENCE_DECOMPOSITION.json","1358","95d9f1cf9cd20c493af94fce9d94bb7fff8e27ce601ee58e8af0fec767f54947"
"UNSEAL\POSTHOC_FAILURE_DIAGNOSTICS_v0.1\U10_POSTHOC_FAILURE_DIAGNOSTICS.json","1958","3597fea4f9a0546705488a70003f91ca168d38cef92ef53928f0b94b27040f12"
"UNSEAL\POSTHOC_FAILURE_DIAGNOSTICS_v0.1\U10_POSTHOC_PHASE_DIAGNOSTICS.csv","4251","cae428a478cca74ca28e73cd986edba10ebdfff4c8bb89de82d2c696e1802afb"
"UNSEAL\RESULTS_v0.1\U10_PRIMARY_RESULT.json","1496","dd2624ba443c69ef2dd276f40eefdff8dadb97612e9838c77b019a4e15c9b090"
"UNSEAL\RESULTS_v0.1\U10_TARGET_BUDGET_SUMMARY.csv","5276","685be9c1a86b4ace5c41d1ff4564fc2fedd65a8f15e9555fe6b3886a6d3c4df9"
"UNSEAL\U10_LOCKED_EVALUATION_SPEC_v0.1.json","2899","25b8810080a595494552789aca632c67db4b6af16b7f404920e38d9aee45a449"
"UNSEAL\U10_UNSEAL_STARTED.json","416","afb46deca612976996d60b17484a391ec5a84439cdb5faf573b8843f5a7e3d0d"
