drive_file_id,drive_path,size_bytes,proposed_action,reason,local_backup_path,local_backup_sha256,second_backup_verified,delete_authorized,next_gate
1ZQb3JJIYIl4MLO1aZYbNdLGKL_STjk3R,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/CrossModal_StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0_SELF_CONTAINED.ipynb,74329,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u4/CrossModal_StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0_SELF_CONTAINED.ipynb,c2cb5f89dd851cac6de127bf33be6b2fbfa7cd4efd59a5b36e6839f9b431089e,false,false,NO_DELETION
1FEuP0wEhGLogVApw_G12bWLzlpA6eANz,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0.py,51395,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u4/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0.py,86d9f568b8f7c1362f593ee182bbe1f79d6a539f156feb1bd4f01731a8ae2a16,false,false,NO_DELETION
10H6ZRA1bS2ZVso8JVLLfbSfoIIVsjXMA,05_Code/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/Stage_U4A_Transparent_Development_Protocol_v1.0.txt,3916,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0/Stage_U4A_Transparent_Development_Protocol_v1.0.txt,80f1289c84b8f2b4ad91a5bf36e1cfe362804c20583eb56878666d567bb7807d,false,false,NO_DELETION
1tgEwVhcsQyUWaj3I4lziKRhExElHGCTa,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Implementation_Fix_Manifest_v1.0.1.json,2117,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Implementation_Fix_Manifest_v1.0.1.json,db16c6fcce1599d66e645de8a805ff802e1e64bfcbf803de3c50dc7914748369,false,false,NO_DELETION
1b8l-ycJroqVtlj0uxxnoiBYQKOpjS3In,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Release_Manifest_v1.0.json,1946,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_U5D_Release_Manifest_v1.0.json,1e7884d904bbeed2e8766a8810e595f6fcc3e5bd12cffb7465ee1d29221c61fd,false,false,NO_DELETION
14v5KkJRRC-GZQ46x4Vx8pm4FTm-3LZsf,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/CMDO_v4.2_Confidence_Bounded_Observer_Hardening.html,4247,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1UF9AcMFsU0az0sNkUMkPcnwQu97OJRB7,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5B_AUTHORISED_Sentinel_Observability_Prospective_Reserve_v1.0.2.py,65920,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u5/StageU5B_AUTHORISED_Sentinel_Observability_Prospective_Reserve_v1.0.2.py,4c0fe6375f572a792160c8449995ed3da3f2f320cbe94a7b4ad297efe4b0d3e5,false,false,NO_DELETION
18XVWzowIVFo6G7bFfZSP3Ixr3tN-6WbU,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.1.py,28160,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u5/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.1.py,e078f18dfa6059d5a8ca854906657fcbf86bccd8b949a3975a1211a59e9f1e3e,false,false,NO_DELETION
1bzRqm7rBSXeE5X8ebORjU05n4mnNZP_J,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.py,27956,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u5/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.py,86592905b72d0311d90133d0fe33e4276b15ef62ce37be3f64cf8f34046480ce,false,false,NO_DELETION
1NNpTi-U6bFS-UcN03vVo9TnMlB-dUVlH,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Observer_Hardening_Protocol_v1.0.txt,1600,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Observer_Hardening_Protocol_v1.0.txt,7544d45e64dd11048706f452f9e3f53e5ada8bf7f1c52c1afb54b47886bdc2b7,false,false,NO_DELETION
1-FC6dc72jMf2MUCvwlSUPNGur3Qru76m,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Run_Identity_v1.0.txt,635,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Run_Identity_v1.0.txt,a7ce4e4df6614851b79db5c526d3d3c16ab4190a9d5305d3ec8ec0dd76b5bd63,false,false,NO_DELETION
1ipjHNwQX4zvPzPDkftfEq7P4qEoGkp4M,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Transparent_Implementation_Amendment_v1.0.1.txt,1080,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/StageU5D_Transparent_Implementation_Amendment_v1.0.1.txt,f6ac66a48ca0d5a24982a7f7eb9c82ab2c1edf73fda999e50c4e790e9c0f8e3f,false,false,NO_DELETION
1DnLwdz-psT7EJQfl_Qho52K9nFh88NOU,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_AUTHORIZATION_v1.0.json,923,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_AUTHORIZATION_v1.0.json,90bc791a3c0f93f00864e38718b57467956ddc9b20b636c05122d4d97fe23618,false,false,NO_DELETION
1Oh_I7w7kKrbpINs5M-NSvsx_xB1SGukY,05_Code/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_IMPLEMENTATION_AMENDMENT_AUTHORIZATION_v1.0.1.json,848,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0/U5D_OBSERVER_HARDENING_IMPLEMENTATION_AMENDMENT_AUTHORIZATION_v1.0.1.json,e83d053653dd1e3b33e806746ccd968d4bcec3b068d25e8cc5153a1697d31e74,false,false,NO_DELETION
1gKDzRjId-ob3q09U54y-mC8DR1RoAXub,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/CMDO_U5E_Release_Manifest_v1.0.json,1670,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/CMDO_U5E_Release_Manifest_v1.0.json,6afc504d1ae8248492f39e1ba622804d25b76808fb0bf6c9a1640eb7767c87c0,false,false,NO_DELETION
19FX9k-Ys5-rAY9MtXNnDtxRB5wTDcWzt,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/CMDO_v4.3_Pair_Complete_Cross_Fitted_Observer.html,3432,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1-sICNn-kV61kqoMSBxQIZdOMCnwoo_8u,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0.py,40168,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u5/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0.py,0ad2e2510fc61ad233f0b68fc5dbafb65caa906cd9eb8fb9458ed7775e4a1b93,false,false,NO_DELETION
1CnjazZW-aFbya2wmc9yh3P1sx5pkmKqJ,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Pair_Complete_Observer_Protocol_v1.0.txt,1862,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Pair_Complete_Observer_Protocol_v1.0.txt,067d536f6681bebcc01820f40a9a74ceb0deb82f6815ffb8a4a0d6ed4bfb46bc,false,false,NO_DELETION
1eZ9yKO2kaXR2ABgXFfHQRL17elVqvlwc,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Run_Identity_v1.0.txt,687,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/StageU5E_Run_Identity_v1.0.txt,e8d8698dd69226091ceb7d76ec0c7601e371d88d5ab68de0b4ec7c49fc85984f,false,false,NO_DELETION
1ZtE__TF5V_yKc4IHvEXhUfgfMn0CNTOA,05_Code/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/U5E_PAIR_COMPLETE_OBSERVER_AUTHORIZATION_v1.0.json,851,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0/U5E_PAIR_COMPLETE_OBSERVER_AUTHORIZATION_v1.0.json,4e678b455757ff822451540ba2a05abc8c1fcbc1c6d613f1ed123f169316d281,false,false,NO_DELETION
1ANpFKvUCQ53Vy4FU7s5Jjtlm0OuBdAI9,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/CMDO_U5F_Release_Manifest_v1.0.json,1642,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/CMDO_U5F_Release_Manifest_v1.0.json,13a67bf17846fe8bc478887f38c7ac9858db14d254da9ecda1321c5b3796b6f3,false,false,NO_DELETION
1atitzQXwYT_HgbwpBs2wtTU9o3JbTEbw,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/CMDO_v4.4_Final_Observer_Freeze.html,2196,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
1iFw3mcu4cjmT_IglCJtjmmE-bH_DmbD2,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0.py,22390,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u5/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0.py,29801e1edc9b145f813fa6bf632121114e131aca44a8b9a706a09c251bb6a718,false,false,NO_DELETION
1-z9TmPdyIrgz-sVCATLb5RFsO6GKS6-e,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/StageU5F_Observer_Freeze_Protocol_v1.0.txt,1290,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/StageU5F_Observer_Freeze_Protocol_v1.0.txt,a7ef3bbbd78334a54826e2bead9aedba7bbbca658c893bb8e75aa683a1c72e72,false,false,NO_DELETION
18ECTpZqJPL2-tTtMlIbL5I5rkubM0bD9,05_Code/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/U5F_OBSERVER_FREEZE_AUTHORIZATION_v1.0.json,731,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0/U5F_OBSERVER_FREEZE_AUTHORIZATION_v1.0.json,db575271aa1a477b19bca2127bedca653a55b7adf5f470b7834271d679b8b951,false,false,NO_DELETION
1Pq89Tq1RbMhAOmHm_FN6xfOpdvAuSpKt,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CMDO_U6_Release_Manifest_v1.0.json,1914,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CMDO_U6_Release_Manifest_v1.0.json,9b862508d7afe3a1b946d27726d930b2de770c761edbf6dd970fc0c74147d8c9,false,false,NO_DELETION
1PI6uiorr-t-JfHUMHn1EQNYAOn0FhnS9,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CMDO_v4.5_Independent_Observer_Confirmation.html,1980,REVIEW,not enough evidence in the targeted inventory for safe disposition,,,false,false,MANUAL_REVIEW_REQUIRED
17Uv-tLkD41IX419L98VP2xv0kopXBWDQ,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/CrossModal_StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.ipynb,365561,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u6/CrossModal_StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.ipynb,9db5fbc659a5a53fb730d27e304ea060bf6dc0b047f4178bc64771d7835f44e1,false,false,NO_DELETION
1HMTbUE9Lu0Uzb2jBVJejN16yN3MmtEE1,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU5F_Frozen_Observer_Specification_v1.0.json,1915,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU5F_Frozen_Observer_Specification_v1.0.json,237c335f1efc8023ed947793349b2fe4b1e2590862256d8ab394366c3f1f783a,false,false,NO_DELETION
1FUkPcPTPPfRFJcw62CEICNM0-8NSTjuQ,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.py,52560,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u6/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.py,b7d3b57bfad0607ee1e39951cf43dc100ebf789f73f09c9a9b8b5ee42476a32b,false,false,NO_DELETION
1w9xB56uvLD8tLwKDCkynYnd_ZeQI1VW6,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU6_Independent_Reserve_Protocol_v1.0.txt,2817,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/StageU6_Independent_Reserve_Protocol_v1.0.txt,b5a465496c5c3fbeea47dc8549da16ec2939bbd94b4df72014ccc6127f6332d2,false,false,NO_DELETION
1oSMinymys2w8ILhpVX3SMov5dppKLSdU,05_Code/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/U6_INDEPENDENT_RESERVE_AUTHORIZATION_v1.0.json,841,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0/U6_INDEPENDENT_RESERVE_AUTHORIZATION_v1.0.json,3de26afe6f23915bf089e76d1c55c8a8f2613b1ea37e04e7c887505e52252031,false,false,NO_DELETION
1TBaaIb2xLIV0vtLdpoJ7vIn0TnArQcsX,05_Code/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/CrossModal_StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0.1.ipynb,14473,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u7/CrossModal_StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0.1.ipynb,fa362dd4d91615c6ed1efbe4fdf459e35d227cc797e4c3c8a586d6172610edab,false,false,NO_DELETION
1SjgGLRbWDYMJv0ff5044ACJZVn2D_2Gn,05_Code/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/StageU7_General_Performance_Observability_And_Natural_Clinical_Deployment_v1.0.py,49715,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u7/StageU7_General_Performance_Observability_And_Natural_Clinical_Deployment_v1.0.py,1645b498e235d05d712df8add98a3b4388582599d05627a01387c41b30bdf2d0,false,false,NO_DELETION
1rOtwbEIUig8pvRE0KL2yfwCSZ16nrgXM,05_Code/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/U7_IMPLEMENTATION_AMENDMENT_v1.0.1.json,1210,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/U7_IMPLEMENTATION_AMENDMENT_v1.0.1.json,cfe41c3f2f252063cd46c6e928aa3b71e62d6b1207959f326d62fc895fda4902,false,false,NO_DELETION
1nYKUdziQ9JfvqiHmeuvKCiSB-vU_gFQV,05_Code/StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0/__pycache__/StageU7_General_Performance_Observability_And_Natural_Clinical_Deployment_v1.0.cpython-312.pyc,72103,DELETE_CANDIDATE,generated Python bytecode; reproducible from authoritative source,,,false,false,EXPLICIT_CONFIRMATION_REQUIRED
1Wr8lzdgEw7mytbIy5syEqk-W1mD2BTWD,07_Experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_External_Dataset_And_Reserve_Policy_v0.1.md,1270,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_External_Dataset_And_Reserve_Policy_v0.1.md,48b8d6c4b8bf682430399c971c2617ff14d621ad88ece66bbaa4e2dab08eacb4,false,false,NO_DELETION
1LqAccxNThMysUj7xoSCSclGo1tewEyaH,07_Experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_Prerregistration_v0.1.md,2615,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_Prerregistration_v0.1.md,686f5ce5edf451d90f772c7f57b78ee8aedfdacaea4c1def3a012869774477c1,false,false,NO_DELETION
1xcOI52nyRnl7s7qRyiH-j74eEEA30147,07_Experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_Run_All_And_Dataset_Acquisition_Guide_v0.1.md,2148,KEEP,hash-backed local import or canonical record,legacy/governance_authoritative/experiments/Cross_Modal/StageU2_Mechanism_Multimetric_LabelEfficiency_External_NonBiomedical_v0.1/StageU2_Run_All_And_Dataset_Acquisition_Guide_v0.1.md,e86982add8f8e0530d86d518d7c533230d57fe31158772570cef9a8ea12f3b1b,false,false,NO_DELETION
1In3g_Aw_ZR_gM_HV82NiHEziQ0_CTUO7,07_Experiments/Cross_Modal/StageU3_Observability_Universality_Classes_And_Prospective_Reserve/99_SUPERSEDED_CrossModal_StageU3C_AUTHORISED_PreFinal.ipynb,19934,ARCHIVE_CANDIDATE,explicitly labelled legacy/superseded/pre-style artifact,,,false,false,ARCHIVE_AND_CONFIRM
1mOeL5NuAG8IqN5SJzCTdoWAk2EqYfIpB,07_Experiments/Cross_Modal/StageU3_Observability_Universality_Classes_And_Prospective_Reserve/CrossModal_StageU3A_Observability_Universality_Classes_v0.1_SELF_CONTAINED.ipynb,17886,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u3/CrossModal_StageU3A_Observability_Universality_Classes_v0.1_SELF_CONTAINED.ipynb,359e59f892bd5374d9d4f03b8639cd3649606d3cc242179747c429454bb9ab5e,false,false,NO_DELETION
1cxzEbQTQpJyTcY3Ka-XCfVVKDtTbnX8P,07_Experiments/Cross_Modal/StageU3_Observability_Universality_Classes_And_Prospective_Reserve/CrossModal_StageU3C_AUTHORISED_Prospective_Reserve_v1.0.1_FINAL.ipynb,65683,KEEP,hash-backed local import or canonical record,legacy/original_authoritative/u3/CrossModal_StageU3C_AUTHORISED_Prospective_Reserve_v1.0.1_FINAL.ipynb,955558ecc8aa45a4f7e1d7aa51990c6a944a9d575299ae35e548be13b70e01a0,false,false,NO_DELETION
1wSHVgMZNV9um8W8ODI0FAnhJzR8dEwOk,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/CMDO_v3_Main_Figure_Manifest.csv,478,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1HEhuSS3rwqp2qAeyH4wwcTUS0FJQz3vg,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/CMDO_v3_Extended_Data_Manifest.csv,569,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1ZKUinAELnXkHUcXgDpvTPRBMgUoSYjNs,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData10_General_Performance_Claim_Boundary.png,151096,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
10JkGJKVw85LC7IhC4zcM8I_fVSya2UpU,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData1_Falsification_Lineage.png,132324,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1Gf8sTiFtXlwH1KiU6Pq3KHWxZ7O_AN-x,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData2_Development_Versus_Locked_Blind.png,89706,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1KeMz4Ns2jAkdhWYGA0gRwIKgBfoBNbcg,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData3_Complexity_Does_Not_Replace_Evidence.png,82521,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1ycDcg_mrWlLxzxAohSbzkWr-pdaMcceV,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData4_U4_Prospective_Falsification.png,116817,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1BPPYwNrHzzBfYKJne8rUx9WK8myW-9vr,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData5_U5B_Transport_Regimes.png,103042,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1bvTlALaU-2ENWT0BwIGKE1Z1BEFYVURB,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData6_Efficiency_Tail_Safety_Frontier.png,125889,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
1aQC2-gi9nWvzxxc0PVI22eNGD5c1MmiM,09_Figures/00_Current_Figure_Source_Package/CMDO_Nature_Main_Figures_v3.0_REBUILT/Extended_Data_v3.0_REBUILT/ExtendedData7_Hardening_And_Freeze.png,78316,ARCHIVE_CANDIDATE,older draft/v3 rendered figure package retained for provenance only,,,false,false,VERIFY_CURRENT_FIGURES_THEN_CONFIRM
