drive_file_id,drive_title,repository_path,raw_drive_size_bytes,raw_drive_sha256,line_endings_normalized,repository_size_bytes,repository_sha256
1ZQb3JJIYIl4MLO1aZYbNdLGKL_STjk3R,CrossModal_StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0_SELF_CONTAINED.ipynb,legacy/original_authoritative/u4/CrossModal_StageU4A_Evidence_Component_Expiry_Safe_Audit_v1.0_SELF_CONTAINED.ipynb,74329,fe1aee6c6654db1f9f62a6ab7793bd5ad1591089c902baf158903701aeb2022c,true,74330,c2cb5f89dd851cac6de127bf33be6b2fbfa7cd4efd59a5b36e6839f9b431089e
1UF9AcMFsU0az0sNkUMkPcnwQu97OJRB7,StageU5B_AUTHORISED_Sentinel_Observability_Prospective_Reserve_v1.0.2.py,legacy/original_authoritative/u5/StageU5B_AUTHORISED_Sentinel_Observability_Prospective_Reserve_v1.0.2.py,65920,5ff064f1bb1581f6ed99eb6958fb14e53e54acac0db3e214f3d7528d3835bcde,true,65921,4c0fe6375f572a792160c8449995ed3da3f2f320cbe94a7b4ad297efe4b0d3e5
1bzRqm7rBSXeE5X8ebORjU05n4mnNZP_J,StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.py,legacy/original_authoritative/u5/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.py,27956,e72dde33247372667a9d4486c0085e1627a995b2692fa8134fb5d03bc6cde6ce,true,27957,86592905b72d0311d90133d0fe33e4276b15ef62ce37be3f64cf8f34046480ce
18XVWzowIVFo6G7bFfZSP3Ixr3tN-6WbU,StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.1.py,legacy/original_authoritative/u5/StageU5D_Confidence_Bounded_Observer_Hardening_v1.0.1.py,28160,66a8361359f676eba93d02fd3633bd948caacdb9bd0a12472f8cf92c6f097657,true,28161,e078f18dfa6059d5a8ca854906657fcbf86bccd8b949a3975a1211a59e9f1e3e
1-sICNn-kV61kqoMSBxQIZdOMCnwoo_8u,StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0.py,legacy/original_authoritative/u5/StageU5E_Pair_Complete_Cross_Fitted_Observer_v1.0.py,40168,a0a488456a62e87744b95440bc7f7242585d6b33d7666b8d5d00e2f426d02205,true,40169,0ad2e2510fc61ad233f0b68fc5dbafb65caa906cd9eb8fb9458ed7775e4a1b93
1iFw3mcu4cjmT_IglCJtjmmE-bH_DmbD2,StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0.py,legacy/original_authoritative/u5/StageU5F_Final_Observer_Freeze_And_U6_Preregistration_v1.0.py,22390,831fdd5f557e4aa1b063b38bbd78dfb8a9cfaab4eea1123f3c604c54e28abbb3,true,22391,29801e1edc9b145f813fa6bf632121114e131aca44a8b9a706a09c251bb6a718
1FUkPcPTPPfRFJcw62CEICNM0-8NSTjuQ,StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.py,legacy/original_authoritative/u6/StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.py,52560,38a7d16fe9238de1c2f59e9c9f72dc75795d2daf83d96514b244d099e7cc0098,true,52561,b7d3b57bfad0607ee1e39951cf43dc100ebf789f73f09c9a9b8b5ee42476a32b
17Uv-tLkD41IX419L98VP2xv0kopXBWDQ,CrossModal_StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.ipynb,legacy/original_authoritative/u6/CrossModal_StageU6_Independent_Pair_Complete_Observer_Reserve_v1.0.ipynb,365561,8bd39a3ff3e34b6771d1c582306ed63bfa4040e73064a71548fefd58cea8594e,true,365562,9db5fbc659a5a53fb730d27e304ea060bf6dc0b047f4178bc64771d7835f44e1
1SjgGLRbWDYMJv0ff5044ACJZVn2D_2Gn,StageU7_General_Performance_Observability_And_Natural_Clinical_Deployment_v1.0.py,legacy/original_authoritative/u7/StageU7_General_Performance_Observability_And_Natural_Clinical_Deployment_v1.0.py,49715,cbbd7117600afe022c2113ba3a84f1e25bbe45e6cde26007c982f2ffaa8cc815,true,48587,1645b498e235d05d712df8add98a3b4388582599d05627a01387c41b30bdf2d0
1TBaaIb2xLIV0vtLdpoJ7vIn0TnArQcsX,CrossModal_StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0.1.ipynb,legacy/original_authoritative/u7/CrossModal_StageU7_General_Observability_And_Natural_Clinical_Deployment_v1.0.1.ipynb,14473,e11150074419d0b14dd0f8c6c1a8e89644c0ad32d2daaa65b0e176a276ba50df,true,14474,fa362dd4d91615c6ed1efbe4fdf459e35d227cc797e4c3c8a586d6172610edab
